Set Folder,File Name,Convergence,a,b,c,alpha,beta,gamma,Formula,Ga_count,N_count,Energy,Spacegroup
set_1,mp-1009646-ReN-GaN_swapped,YES,2.982563469,2.982563469,2.687584558,90,90,120,GaN,1,1,-10.40149384,P -6 m 2
set_1,mp-1006882-CdC-GaN_randomly_scaled,YES,3.245477852,6.490357781,3.245477852,59.99695249,60,59.99695249,Ga2N2,2,2,-24.32555045,R 3 m
set_1,mp-1009648-PtC-GaN_randomly_scaled,YES,2.987778497,2.987778497,5.364546426,90,90,120,Ga2N2,2,2,-20.83117209,P -6 m 2
set_1,mp-1001827-IrC-GaN_swapped_randomly_scaled,YES,2.988356691,2.988356691,5.367198835,90,90,120,Ga2N2,2,2,-20.82943784,P -6 m 2
set_1,mp-1001825-LiBe-GaN_swapped,YES,3.019323846,2.96422781,5.222816865,55.72706179,90,90,Ga2N2,2,2,-22.51479017,P 21/m
set_1,mp-1009017-HoSb-GaN_randomly_scaled,YES,2.736635091,5.474089218,2.736635091,90,90,90,Ga2N2,2,2,-18.13660157,P 4/m m m
set_1,mp-1002124-HfC-GaN_swapped,YES,3.246271855,3.246271855,3.246271855,60,60,60,GaN,1,1,-12.16023567,F -4 3 m
set_1,mp-1008928-EuSe-GaN_swapped_randomly_scaled,YES,2.736782178,2.736782178,5.473013554,90,90,90,Ga2N2,2,2,-18.1365674,P 4/m m m
set_1,mp-1008610-AuN-GaN_randomly_scaled,YES,3.023985535,3.023985535,6.047791632,59.99901852,59.99901852,60,Ga2N2,2,2,-22.71870112,R -3 m
set_1,mp-1009009-LiF-GaN_swapped_randomly_scaled,YES,2.726457246,2.726457246,5.484575507,90,90,90,Ga2N2,2,2,-18.1411602,P 4/m m m
set_1,mp-1001825-LiBe-GaN,YES,3.52097301,2.841010486,5.547730868,74.2860884,90,90,Ga2N2,2,2,-16.89624344,P 21/m
set_1,mp-1007918-DyAu-GaN_randomly_scaled,YES,3.02218134,6.047765288,5.239463172,90,54.70143521,90,Ga4N4,4,4,-45.46464117,P 21/m
set_1,mp-1009833-TaN-GaN_randomly_scaled,YES,3.245718889,3.245718889,6.491442731,60.00002524,60.00002524,60,Ga2N2,2,2,-24.31170555,F -4 3 m
set_1,mp-10109-NpS-GaN_randomly_scaled,YES,6.053561469,3.024017126,3.024017126,60,60.03019893,60.03019893,Ga2N2,2,2,-22.74087868,R -3 m
set_1,mp-1009601-PdN-GaN,YES,2.992575475,2.992575475,2.680521489,90,90,120,GaN,1,1,-10.41154808,P -6 m 2
