Base File,Compare File,Is Similar
mp-1007824-GaN.cif,test_1002.cif,False
mp-1181864-GaN.cif,test_1002.cif,False
mp-2646978-GaN.cif,test_1002.cif,False
mp-2853-GaN.cif,test_1002.cif,False
mp-804-GaN.cif,test_1002.cif,False
mp-1007824-GaN.cif,test_1006.cif,False
mp-1181864-GaN.cif,test_1006.cif,False
mp-2646978-GaN.cif,test_1006.cif,False
mp-2853-GaN.cif,test_1006.cif,False
mp-804-GaN.cif,test_1006.cif,False
mp-1007824-GaN.cif,test_1025.cif,False
mp-1181864-GaN.cif,test_1025.cif,False
mp-2646978-GaN.cif,test_1025.cif,False
mp-2853-GaN.cif,test_1025.cif,False
mp-804-GaN.cif,test_1025.cif,False
mp-1007824-GaN.cif,test_1056.cif,False
mp-1181864-GaN.cif,test_1056.cif,False
mp-2646978-GaN.cif,test_1056.cif,False
mp-2853-GaN.cif,test_1056.cif,False
mp-804-GaN.cif,test_1056.cif,False
mp-1007824-GaN.cif,test_1060.cif,False
mp-1181864-GaN.cif,test_1060.cif,False
mp-2646978-GaN.cif,test_1060.cif,False
mp-2853-GaN.cif,test_1060.cif,False
mp-804-GaN.cif,test_1060.cif,False
mp-1007824-GaN.cif,test_1067.cif,False
mp-1181864-GaN.cif,test_1067.cif,False
mp-2646978-GaN.cif,test_1067.cif,False
mp-2853-GaN.cif,test_1067.cif,False
mp-804-GaN.cif,test_1067.cif,False
mp-1007824-GaN.cif,test_1068.cif,False
mp-1181864-GaN.cif,test_1068.cif,False
mp-2646978-GaN.cif,test_1068.cif,False
mp-2853-GaN.cif,test_1068.cif,False
mp-804-GaN.cif,test_1068.cif,False
mp-1007824-GaN.cif,test_1071.cif,False
mp-1181864-GaN.cif,test_1071.cif,False
mp-2646978-GaN.cif,test_1071.cif,False
mp-2853-GaN.cif,test_1071.cif,False
mp-804-GaN.cif,test_1071.cif,False
mp-1007824-GaN.cif,test_1084.cif,False
mp-1181864-GaN.cif,test_1084.cif,False
mp-2646978-GaN.cif,test_1084.cif,False
mp-2853-GaN.cif,test_1084.cif,False
mp-804-GaN.cif,test_1084.cif,False
mp-1007824-GaN.cif,test_1088.cif,False
mp-1181864-GaN.cif,test_1088.cif,False
mp-2646978-GaN.cif,test_1088.cif,False
mp-2853-GaN.cif,test_1088.cif,False
mp-804-GaN.cif,test_1088.cif,False
mp-1007824-GaN.cif,test_1089.cif,False
mp-1181864-GaN.cif,test_1089.cif,False
mp-2646978-GaN.cif,test_1089.cif,False
mp-2853-GaN.cif,test_1089.cif,False
mp-804-GaN.cif,test_1089.cif,False
mp-1007824-GaN.cif,test_1107.cif,False
mp-1181864-GaN.cif,test_1107.cif,False
mp-2646978-GaN.cif,test_1107.cif,False
mp-2853-GaN.cif,test_1107.cif,False
mp-804-GaN.cif,test_1107.cif,False
mp-1007824-GaN.cif,test_1128.cif,False
mp-1181864-GaN.cif,test_1128.cif,False
mp-2646978-GaN.cif,test_1128.cif,False
mp-2853-GaN.cif,test_1128.cif,False
mp-804-GaN.cif,test_1128.cif,False
mp-1007824-GaN.cif,test_1136.cif,False
mp-1181864-GaN.cif,test_1136.cif,False
mp-2646978-GaN.cif,test_1136.cif,False
mp-2853-GaN.cif,test_1136.cif,False
mp-804-GaN.cif,test_1136.cif,False
mp-1007824-GaN.cif,test_1139.cif,False
mp-1181864-GaN.cif,test_1139.cif,False
mp-2646978-GaN.cif,test_1139.cif,False
mp-2853-GaN.cif,test_1139.cif,False
mp-804-GaN.cif,test_1139.cif,False
mp-1007824-GaN.cif,test_1143.cif,False
mp-1181864-GaN.cif,test_1143.cif,False
mp-2646978-GaN.cif,test_1143.cif,False
mp-2853-GaN.cif,test_1143.cif,False
mp-804-GaN.cif,test_1143.cif,False
mp-1007824-GaN.cif,test_1145.cif,False
mp-1181864-GaN.cif,test_1145.cif,False
mp-2646978-GaN.cif,test_1145.cif,False
mp-2853-GaN.cif,test_1145.cif,False
mp-804-GaN.cif,test_1145.cif,False
mp-1007824-GaN.cif,test_1154.cif,False
mp-1181864-GaN.cif,test_1154.cif,False
mp-2646978-GaN.cif,test_1154.cif,False
mp-2853-GaN.cif,test_1154.cif,False
mp-804-GaN.cif,test_1154.cif,False
mp-1007824-GaN.cif,test_1169.cif,False
mp-1181864-GaN.cif,test_1169.cif,False
mp-2646978-GaN.cif,test_1169.cif,False
mp-2853-GaN.cif,test_1169.cif,False
mp-804-GaN.cif,test_1169.cif,False
mp-1007824-GaN.cif,test_1215.cif,False
mp-1181864-GaN.cif,test_1215.cif,False
